Sr,NSE Code,BSE Code,Company Name,Close (₹),% Change,Volume
1,MUTHOOTFIN,533398,Muthoot Finance Limited,3311.4,-6.22,5094743
2,TIINDIA,540762,Tube Investments of India Ltd,2850.3,1.77,566267
3,BPCL,500547,Bharat Petroleum Corporation Limited,284.45,-3.58,14828416
4,IOC,530965,Indian Oil Corporation Limited,134.48,-4.12,30353032
