Sr,NSE Code,BSE Code,Company Name,Close (₹),% Change,Volume
1,INDIGO,539448,Interglobe Aviation Limited,4314.9,0.8,713589
2,LUPIN,500257,Lupin Limited,2276.2,0.8,2059751
