Sr,NSE Code,BSE Code,Company Name,Close (₹),% Change,Volume
1,BHARTIARTL,532454,Bharti Airtel Limited,1905.4,1.16,15807294
2,PGIL,532808,Pearl Global Industries Limited,1671.6,9.34,1917483
3,UNITDSPR,532432,United Spirits Ltd,1320.7,3.79,3849617
4,KARURVYSYA,590003,Karur Vysya Bank Limited,299.05,3.12,2934490
5,AKI,542020,AKI India Ltd,4.89,2.73,131883
